author,key
Abdelsalam Helal,journals/tods/LiuHD98|conf/icde/ElmagarmidH88|conf/icde/HelalSB89|conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97|journals/mms/JiangHEJ98|journals/sigmod/DunhamH95a|journals/csur/JingHE99|journals/monet/DunhamHB97|journals/monet/JingEHA97
Abderrahmane Aggoun,conf/fgcs/DincbasHSAGB88
Abdul Hai,journals/ijmms/HaiK85
Abdul Sattar 0001,conf/icde/SattarG91
Abdulla Bataineh,journals/ipl/BatainehOS91
Abdullah Uz Tansel,journals/tkde/Tansel97|journals/tkde/TanselT97|journals/tods/TanselG92|conf/cikm/GoralwallaTO95|conf/icde/Tansel87|conf/sigmod/TanselG89|conf/sigmod/CliffordT85|journals/isci/Tansel91|journals/tse/TanselAO89|journals/is/Tansel86|conf/ddb/OzkarahanTS82|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/TanselT97|conf/ssdbm/TanselA86|conf/ssdbm/TanselA86a
Abe Lockman,journals/tse/LockmanM82
Abel Weinrib,conf/sigmod/HermanGLW87|journals/cacm/BowenGHHLMRW92
Abhai Johri,journals/tse/GligorCCDHJJLV87
Abhay Mehta,conf/kdd/ClearDHHLMMRSWX99
Abhaya Asthana,conf/cikm/SoparkarKJA95|conf/iwdm/AsthanaJK89|conf/asplos/AhujaA82
Abhijit Chaudhury,journals/tkde/LinCWM93
Abhijit Sahay,conf/ppopp/CullerKPSSSSE93
Abhijit Sengupta,conf/dpds/BandyopadhyayS88
Abhirup Chatterjee,conf/icde/ZhaoSC95|conf/ssdbm/SegevC94|journals/sigmod/ChatterjeeS91|conf/ssdbm/ChatterjeeS92
Abigail Sellen,conf/chi/OHaraS97
Abraham Bernstein,journals/debu/BernsteinDMQ95|journals/sigmod/BernsteinDK99
Abraham Bookstein,journals/ipm/BooksteinKZ92|conf/sigir/Bookstein86|conf/sigir/LoseeBY86|conf/sigir/BooksteinK91
Abraham Kandel,journals/ac/KandelS89|journals/ins/Zemankova85
Abraham Lempel,journals/tit/ZivL78|journals/tit/ZivL77|journals/csur/Lempel79|journals/cacm/EvenGL85
Abraham Silberschatz,journals/debu/RastogiMKS93|journals/debu/OzdenRS95|journals/tkde/LevyS92|journals/tkde/SoparkarKS95|journals/tkde/SilberschatzT96|journals/tkde/GangulyST95|journals/csur/SilberschatzKS96|journals/csur/OzdenRS95|journals/csur/SilberschatzZ96|journals/tods/MehrotraRKS98|journals/tods/RothKS88|journals/vldb/RoySSSA98|journals/vldb/MehrotraKS97|journals/vldb/GarofalakisOS98|journals/vldb/BreitbartGS92|journals/vldb/BreitbartST92|conf/icde/HillyerRS99|conf/icde/GangulyKS91|conf/icde/OzdenRS98|conf/icde/ChaudhuriADRSW97|conf/icde/OzdenRS97|conf/icde/BohannonRSSS99|conf/icde/HsuS91|conf/sigmod/KedemS81|conf/sigmod/BreitbartST90|conf/sigmod/BreitbartKRSS99|conf/sigmod/GangulyST90|conf/sigmod/MehrotraRBKS92|conf/sigmod/LevyKS91|conf/sigmod/BreitbartS88|conf/sigmod/WolfsonS88|conf/sigmod/OzdenRSS96|conf/sigmod/GangulyGMS96|conf/sigmod/HillyerS96|conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99|conf/pods/SoparkarS90|conf/pods/RamakrishnanBS87|conf/pods/MohanFS82|conf/pods/MehrotraRBKS92|conf/pods/KiferRS88|conf/pods/GangulyGS96|conf/pods/RastogiKS93|conf/pods/RastogiMBKS93|conf/pods/OzdenRS97|conf/pods/GarofalakisIOS98|conf/pods/BuckleyS84|conf/pods/JagadishMS95|conf/dasfaa/MehrotraRBKS93|conf/vldb/KedemS80|conf/vldb/JagadishLRSS94|conf/vldb/BohannonLRSSS97|conf/vldb/FussellKS81|conf/vldb/BaulierBKS98|conf/vldb/JagadishSS93|conf/vldb/AshwinRSSS97|conf/vldb/FaloutsosMS96|conf/vldb/BuckleyS83|conf/vldb/KorthSS90|conf/vldb/OzdenBRS94|conf/vldb/RamakrishnanS85|conf/vldb/RamaswamyMS98|conf/vldb/ReadFS92|conf/vldb/GarofalakisOS97|conf/vldb/KedemMS82|conf/vldb/KorthLS90|journals/jlp/WolfsonS91|journals/debu/BreitbartST87|journals/mms/OzdenRS96|journals/mta/BohannonLRSSS97|journals/acta/KedemS81|journals/acta/RothKS89|journals/sigmod/SilberschatzSU90|journals/sigmod/SilberschatzZ97|journals/sigmod/SilberschatzSU96|journals/sigmod/DrewKMRS93|journals/computer/SoparkarKS91|journals/jacm/SilberschatzK80|journals/jacm/BuckleyS85|journals/jacm/KedemS83|journals/tse/Silberschatz83a|journals/tse/BreitbartGRS91|journals/tse/SilberschatzK82|journals/tse/MohanFKS85|journals/csur/LevyS90|journals/dpd/RastogiBPSSS98|journals/cacm/SilberschatzSU91|journals/is/OzdenBRS95|journals/ibmsj/AttaluriBCLMSSZ95|journals/iandc/MohanFS84|journals/cj/BuckleyS84|journals/spe/KimKS88|conf/focs/KedemS79|conf/kdd/SilberschatzT95|conf/sigmetrics/HillyerS96|conf/pdis/BohannonPRSSS96|conf/pdis/MehrotraRKS91|conf/icmcs/OzdenRSM95|conf/icmcs/OzdenRS95|conf/icmcs/OzdenRS96a|conf/podc/Silberschatz82|conf/podc/LevyKS91|conf/icdcs/MehrotraRKS92|conf/icdcs/RastogiKS95|conf/ride/MehrotraRKS92|conf/ride/BreitbartS92|conf/ride/GarofalakisOS98
Achim Blumensath,conf/lics/BlumensathG00
Achim Jung,journals/tcs/BunemanJO91
Achim Kraiss,journals/debu/WeikumKK99|journals/vldb/KraissW98|conf/icde/KraissMG99|conf/edbt/GillmannWWK00|conf/edbt/MuthKW96|conf/vldb/KraissW97|conf/vldb/MoserKK95
Achim Pick,journals/vldb/MuthOPW00|conf/vldb/MuthOPW98
Achim Ulbrich-vom Ende,conf/dolap/BoehnleinE99
